epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,6240.13,1.08215,2.3828,0.15367,0.63679,0.92504,0.96727,0.92191,0.97439,0.70153,0.83265,0.81234,0.76399,0.62993,0.9917,2.17792,0.05194,0.57781,0.92153,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,6332.8,1.08204,2.28781,0.14958,0.64176,0.92419,0.95874,0.93656,0.97597,0.71096,0.83279,0.82746,0.7649,0.6309,0.97088,2.07516,0.05181,0.58034,0.91594,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,6424.92,1.06527,2.3551,0.15428,0.63635,0.91851,0.97212,0.92695,0.97343,0.71289,0.85104,0.81738,0.77977,0.65698,0.967,2.08039,0.04939,0.57224,0.91322,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,6517.79,1.05383,2.25506,0.14882,0.62332,0.92227,0.96689,0.94081,0.97408,0.71029,0.83594,0.82368,0.74902,0.62746,0.96792,2.12334,0.05179,0.5673,0.91283,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,6611.21,1.08472,2.39878,0.15484,0.64143,0.9259,0.96867,0.93461,0.97711,0.71151,0.8494,0.81692,0.77049,0.64221,0.9663,2.0967,0.05076,0.57236,0.91162,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,6705.34,1.06197,2.24861,0.15178,0.62679,0.92583,0.97589,0.95088,0.98366,0.71934,0.85664,0.82494,0.77167,0.65021,0.94574,2.00245,0.05175,0.55234,0.90644,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,6797.91,1.04798,2.14042,0.14626,0.62321,0.91754,0.96992,0.95088,0.97696,0.71884,0.86373,0.83501,0.78968,0.66138,0.9633,1.97567,0.05132,0.5609,0.90819,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,6892.86,1.04972,2.17664,0.14557,0.62059,0.92052,0.97157,0.94689,0.97802,0.71554,0.83846,0.84005,0.76664,0.65024,0.96111,2.02713,0.04973,0.55728,0.90601,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,6986.12,1.04585,2.05545,0.15054,0.61984,0.91719,0.96928,0.94207,0.97837,0.7223,0.86018,0.84452,0.80173,0.68072,0.94574,1.86809,0.04759,0.54683,0.90769,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,7078.46,1.04658,2.08545,0.14748,0.61573,0.91541,0.96539,0.94847,0.97883,0.72071,0.83985,0.81612,0.75495,0.64517,0.94269,2.14506,0.05278,0.54723,0.90631,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,7171.53,1.03119,2.05314,0.147,0.61147,0.91678,0.96787,0.94848,0.97883,0.71627,0.85925,0.84131,0.77488,0.66748,0.95487,1.97111,0.04956,0.5583,0.91032,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,7263.83,1.04306,2.17913,0.15155,0.62245,0.91834,0.96445,0.95682,0.97866,0.71981,0.83848,0.84257,0.77934,0.66386,0.94798,1.98541,0.05095,0.55287,0.90591,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,7356.45,1.0437,2.11773,0.15274,0.6226,0.92118,0.9767,0.94458,0.97972,0.7224,0.84898,0.82839,0.78287,0.67166,0.94648,1.98974,0.0478,0.54492,0.90415,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,7449.72,1.04558,2.08709,0.14826,0.62281,0.91115,0.97154,0.94602,0.97982,0.7242,0.85944,0.84509,0.80776,0.69878,0.95169,1.88801,0.04866,0.55039,0.90432,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,7542.24,1.02605,1.99005,0.14391,0.5989,0.9102,0.9724,0.94836,0.97914,0.72118,0.86924,0.85264,0.78735,0.66765,0.93358,1.87335,0.04858,0.538,0.9059,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,7634.35,1.01778,2.07584,0.14813,0.59756,0.91441,0.96289,0.94836,0.97955,0.72145,0.84767,0.83501,0.77946,0.67809,0.95398,1.98025,0.04802,0.54023,0.90492,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,7727.39,1.02188,2.14282,0.14245,0.60285,0.90933,0.97158,0.94709,0.97728,0.72391,0.84762,0.82997,0.77541,0.66949,0.9291,2.01546,0.04796,0.53136,0.90295,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,7820.26,1.01804,2.07748,0.14638,0.60621,0.91285,0.97272,0.94332,0.98233,0.72445,0.85675,0.8286,0.79301,0.67809,0.93271,1.92223,0.04771,0.54187,0.89927,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,7913.02,1.01022,2.05919,0.14713,0.60001,0.909,0.97159,0.94748,0.97933,0.72591,0.86156,0.85139,0.80407,0.69295,0.93299,1.83505,0.04725,0.53683,0.90241,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,8005.38,1.01304,1.97459,0.14386,0.59794,0.90591,0.9791,0.9471,0.98094,0.73703,0.86131,0.83375,0.7878,0.69296,0.91665,1.87164,0.04724,0.52042,0.8925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,8097.89,0.99902,1.98363,0.15001,0.59329,0.9075,0.95756,0.96606,0.97993,0.73562,0.87524,0.84383,0.80103,0.69686,0.9204,1.80083,0.04776,0.52305,0.90004,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,8190.02,1.00572,1.94592,0.14175,0.58893,0.90586,0.97562,0.95747,0.98247,0.73572,0.86163,0.85768,0.80628,0.7045,0.90968,1.80593,0.04683,0.52156,0.89691,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,8281.98,0.99823,1.89213,0.13274,0.58921,0.90255,0.97691,0.95927,0.9823,0.73334,0.85932,0.84625,0.78764,0.69277,0.91777,1.88357,0.04557,0.52327,0.89709,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
