epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,7406.48,1.03384,2.2105,0.15356,0.60689,0.91319,0.96769,0.94961,0.97743,0.71636,0.85355,0.82383,0.77346,0.64665,0.93905,2.03895,0.04786,0.53916,0.90122,0.001208,0.001208,0.001208
82,7497.23,1.00453,2.11964,0.14371,0.59036,0.91171,0.98235,0.95112,0.98512,0.72671,0.84151,0.81374,0.75176,0.64139,0.93821,2.16466,0.05058,0.53071,0.90354,0.0011981,0.0011981,0.0011981
83,7588.31,1.02578,2.03531,0.15771,0.60152,0.91027,0.96598,0.94452,0.97863,0.72203,0.85672,0.82147,0.76555,0.6481,0.93777,2.11598,0.04896,0.54535,0.90067,0.0011882,0.0011882,0.0011882
84,7678.93,1.00726,2.10577,0.15725,0.59355,0.90633,0.95651,0.95873,0.97978,0.72831,0.85955,0.8177,0.76697,0.6467,0.91744,2.05235,0.0486,0.53485,0.89435,0.0011783,0.0011783,0.0011783
85,7769.56,1.01472,2.08728,0.15192,0.59583,0.91084,0.9796,0.95157,0.98113,0.72803,0.83788,0.80978,0.74055,0.62452,0.92276,2.21751,0.05172,0.53234,0.90099,0.0011684,0.0011684,0.0011684
86,7860.78,1.00366,1.96747,0.15489,0.58962,0.90756,0.96957,0.96798,0.98113,0.73311,0.86132,0.83091,0.77068,0.67377,0.91636,1.97456,0.05094,0.5206,0.89445,0.0011585,0.0011585,0.0011585
87,7951.36,1.00333,1.98017,0.154,0.58984,0.90736,0.95996,0.95014,0.97646,0.72231,0.82649,0.81804,0.74982,0.64244,0.92859,2.11311,0.04871,0.53366,0.89899,0.0011486,0.0011486,0.0011486
88,8042.35,0.99498,2.01461,0.14635,0.58853,0.90279,0.97557,0.94939,0.98365,0.73485,0.85888,0.84418,0.79422,0.6866,0.90995,1.90365,0.04819,0.52486,0.89699,0.0011387,0.0011387,0.0011387
89,8132.83,1.00664,2.12032,0.15088,0.58851,0.90844,0.97187,0.95845,0.981,0.72765,0.85903,0.83884,0.78839,0.67511,0.91623,1.93669,0.04701,0.52636,0.90004,0.0011288,0.0011288,0.0011288
90,8223.42,0.98681,1.94895,0.15011,0.57933,0.90359,0.98183,0.96301,0.98546,0.73419,0.8548,0.83884,0.76301,0.65934,0.89887,1.98561,0.04707,0.51079,0.88937,0.0011189,0.0011189,0.0011189
91,8314.44,0.98224,1.90364,0.14553,0.5857,0.90338,0.9704,0.95905,0.98136,0.74125,0.84981,0.8362,0.77361,0.67433,0.89687,1.90978,0.04793,0.51673,0.88941,0.001109,0.001109,0.001109
92,8405.36,0.99197,1.99409,0.14801,0.57612,0.90441,0.96391,0.95257,0.97986,0.73549,0.84494,0.835,0.78018,0.66697,0.90779,1.93965,0.04664,0.52603,0.89231,0.0010991,0.0010991,0.0010991
93,8496.01,0.96484,1.85452,0.14171,0.56868,0.89627,0.97159,0.95905,0.97891,0.74405,0.84792,0.82491,0.76957,0.66843,0.88069,1.98527,0.04749,0.50794,0.88559,0.0010892,0.0010892,0.0010892
94,8587.18,0.97656,1.92596,0.14023,0.57375,0.89668,0.9742,0.95641,0.9824,0.74039,0.83666,0.81902,0.76726,0.66525,0.902,2.07991,0.04699,0.51804,0.89193,0.0010793,0.0010793,0.0010793
95,8677.76,0.98425,1.96895,0.14392,0.57356,0.90081,0.96736,0.95509,0.98104,0.74382,0.8552,0.83482,0.78818,0.68326,0.90354,1.94705,0.04654,0.50999,0.89456,0.0010694,0.0010694,0.0010694
96,8771.52,0.98247,2.00776,0.14609,0.57392,0.9011,0.96394,0.95345,0.97839,0.73884,0.84888,0.82368,0.78387,0.68184,0.89996,2.01297,0.04656,0.51935,0.89277,0.0010595,0.0010595,0.0010595
97,8863.12,0.98212,1.87241,0.14635,0.57582,0.9051,0.96702,0.96301,0.98138,0.73605,0.83688,0.83364,0.7558,0.64873,0.90111,2.10756,0.04602,0.51819,0.89439,0.0010496,0.0010496,0.0010496
98,8957.25,0.97438,1.91098,0.14874,0.57093,0.90077,0.97062,0.96565,0.98214,0.73942,0.86977,0.83818,0.7976,0.69364,0.88466,1.88198,0.04559,0.5028,0.88772,0.0010397,0.0010397,0.0010397
99,9048.45,0.95743,1.80581,0.1403,0.56488,0.89316,0.97189,0.96037,0.98444,0.7389,0.87515,0.84412,0.80574,0.70215,0.88721,1.84941,0.045,0.50637,0.88929,0.0010298,0.0010298,0.0010298
100,9139.9,0.96164,1.83005,0.14063,0.56581,0.89097,0.9704,0.95276,0.98186,0.74383,0.85293,0.83355,0.779,0.68104,0.88315,1.95867,0.04489,0.50532,0.88738,0.0010199,0.0010199,0.0010199
101,9230.99,0.96735,1.74082,0.14923,0.57176,0.90001,0.96804,0.96026,0.98225,0.738,0.87194,0.8428,0.79972,0.69939,0.89727,1.79022,0.04239,0.51623,0.89093,0.00101,0.00101,0.00101
102,9322.08,0.96932,1.83357,0.13178,0.55648,0.89399,0.97592,0.96369,0.98293,0.74046,0.82949,0.82256,0.75503,0.65982,0.89,2.07322,0.04516,0.50254,0.88772,0.0010001,0.0010001,0.0010001
103,9412.02,0.95137,1.82831,0.14411,0.55967,0.89323,0.97352,0.95773,0.98065,0.74188,0.86035,0.84639,0.79074,0.69033,0.8877,1.88214,0.0452,0.50264,0.88628,0.0009902,0.0009902,0.0009902
104,9498.43,0.95245,1.81518,0.13795,0.56372,0.8926,0.97449,0.95862,0.98441,0.7453,0.86351,0.85205,0.79984,0.69708,0.8722,1.82688,0.04286,0.49883,0.88204,0.0009803,0.0009803,0.0009803
105,9584.69,0.9436,1.84812,0.14471,0.56217,0.8909,0.97425,0.96169,0.98335,0.74222,0.85654,0.84544,0.79187,0.70226,0.88564,1.83943,0.04412,0.5023,0.88568,0.0009704,0.0009704,0.0009704
106,9671.26,0.94166,1.76902,0.144,0.55765,0.89015,0.97664,0.95905,0.98374,0.74734,0.86113,0.83752,0.76949,0.67478,0.87825,1.9434,0.04445,0.49379,0.88739,0.0009605,0.0009605,0.0009605
107,9757.89,0.94202,1.80734,0.1425,0.55531,0.89483,0.9708,0.96622,0.98682,0.74544,0.85742,0.83414,0.77808,0.68989,0.87252,1.87092,0.04499,0.49339,0.8845,0.0009506,0.0009506,0.0009506
108,9843.8,0.91893,1.71648,0.13618,0.54146,0.88962,0.98004,0.97315,0.98342,0.74714,0.87202,0.86411,0.80541,0.7019,0.87656,1.8135,0.04353,0.49441,0.88509,0.0009407,0.0009407,0.0009407
109,9929.78,0.92024,1.66067,0.13525,0.53847,0.88549,0.97213,0.95244,0.98499,0.74861,0.86287,0.83956,0.79112,0.69564,0.8696,1.83124,0.04344,0.49447,0.88547,0.0009308,0.0009308,0.0009308
110,10015.7,0.94493,1.74625,0.14421,0.5471,0.8937,0.97973,0.96433,0.98328,0.75128,0.8541,0.84148,0.7757,0.68228,0.8659,1.92738,0.04499,0.49237,0.8834,0.0009209,0.0009209,0.0009209
111,10101.8,0.94992,1.68984,0.14198,0.56074,0.88513,0.98502,0.95558,0.98258,0.74499,0.87802,0.84808,0.80803,0.71405,0.88224,1.72037,0.04411,0.49767,0.88551,0.000911,0.000911,0.000911
112,10187.9,0.9421,1.76034,0.13762,0.55201,0.89268,0.97745,0.96037,0.9847,0.74831,0.87662,0.86129,0.81855,0.72205,0.88114,1.67711,0.04314,0.49254,0.88369,0.0009011,0.0009011,0.0009011
